Year,Private_Suits_Commenced,Private_Suits_Pending,Private_Suits_Terminated,US_Suits_Commenced,US_Suits_Pending,US_Suits_Terminated
1873,15141,NA,7276,NA,7599,3241
1874,19194,NA,11490,NA,6854,3058
1875,15316,NA,9517,NA,7211,3002
1876,11366,14397,7680,NA,6926,3203
1877,10258,20570,7382,NA,6764,2716
1878,11501,22005,9862,NA,4466,2589
1879,12801,19771,8490,NA,4236,2515
1880,11397,26789,8603,NA,4110,2423
1881,9727,24371,7603,NA,2929,2482
1882,10530,23271,7439,NA,2494,1973
1883,12124,27791,8327,NA,4432,1597
1884,11700,30372,8738,NA,6152,1548
1885,11967,29308,8952,NA,2146,1658
1886,12326,31455,10109,NA,2826,1379
1887,10769,29479,9339,NA,3054,1777
1888,9329,34922,8229,NA,3051,2170
1889,9173,38872,8080,NA,2950,2287
1890,12247,42584,8500,NA,2927,1768
1891,12459,39206,9534,NA,3459,1673
1892,13236,44809,11307,NA,2264,2009
1893,12438,45135,10398,NA,2119,1628
1894,13567,46816,11988,NA,2234,1562
1895,11958,46797,9982,NA,2608,2751
1896,10465,45956,9621,NA,8204,2726
1897,10255,46453,9712,NA,7616,2524
1898,10274,45715,11005,NA,6851,2369
1899,10035,46153,9169,NA,2807,1739
1900,10628,46347,10459,NA,6130,1602
1901,11400,39693,11391,NA,4828,1873
1902,11514,40158,11094,NA,4180,2672
1903,11952,41317,10526,NA,2940,1793
1904,13085,42799,10986,1803,2778,2171
1905,13992,46332,12085,2010,2801,2158
1906,14299,46451,13731,1687,2684,1953
1907,15801,43878,11809,2633,3581,1900
1908,11703,41658,9128,3202,4338,2483
1909,9985,43387,8811,3142,4342,3071
1910,10618,43831,9445,3170,4056,3464
1911,10191,54911,9543,3814,4903,2982
1912,10992,54210,11633,4001,5681,3242
1913,11183,51322,13781,3752,23261,4123
1914,12146,51537,13344,4142,29888,4781
1915,11690,59546,11786,3578,26362,7026
1916,13852,54211,19159,3500,12167,10739
1917,14017,51099,16419,3534,9098,6507
1918,13879,37889,26370,2877,7410,4592
1919,13825,29706,22057,4975,6110,6280
1920,16383,32654,13357,5726,6298,5526
1921,22453,35991,16886,9722,10288,6301
1922,22099,39733,17996,9646,12126,8170
1923,19717,40193,18879,10999,13082,10037
1924,20458,40355,20332,13753,15777,11121
1925,21716,38638,23536,16319,18187,13968
1926,21217,38173,21487,17504,18506,17236
1927,22968,38242,22554,17888,16433,19953
1928,23750,39223,22641,20695,18611,18589
