year,token_count,decade,total_count,counts_permil
1873,1,1870,583981485,0.0017123830561169247
1891,15,1890,849750639,0.017652237387726165
1893,1,1890,915629979,0.0010921442317694144
1898,1,1890,1109257706,9.015037665196982e-4
1899,1,1890,1232717908,8.112156021343368e-4
1900,6,1900,1341057959,0.00447407955766064
1906,6,1900,1397090480,0.004294639528285956
1908,6,1900,1417130893,0.00423390671224327
1909,1,1900,1283265090,7.792622177542444e-4
1910,2,1910,1354824248,0.0014762062333564022
1911,1,1910,1350964981,7.402116369143694e-4
1912,1,1910,1431385638,6.9862374852192e-4
1916,3,1910,1175413415,0.0025522934839058305
1917,5,1910,1183132092,0.004226070811373106
1918,2,1910,1039343103,0.0019242923671953206
1919,4,1910,1136614538,0.0035192229786524163
1920,12,1920,1388696469,0.008641197171503719
1921,2,1920,1216676110,0.0016438228576708062
1922,8,1920,1413237707,0.005660760366338003
1923,3,1920,1151386048,0.00260555528287937
1924,6,1920,1069007206,0.005612684335824767
1925,17,1920,1113107246,0.015272562514609666
1926,5,1920,1053565430,0.0047457897322997775
1927,5,1920,1216023821,0.004111761557342058
1928,4,1920,1212716430,0.0032983803146791704
1929,5,1920,1153722574,0.004333797494023898
1930,1,1930,1244889331,8.032842559560822e-4
1931,19,1930,1183806248,0.016049923737182368
1932,7,1930,1057602772,0.006618742107457335
1933,7,1930,915956659,0.0076422829958376895
1934,25,1930,1053600093,0.023728167989066417
1935,11,1930,1157109310,0.009506448444356566
1936,13,1930,1199843463,0.010834746698953344
1937,24,1930,1232280287,0.019476088559712553
1938,21,1930,1261812592,0.01664272502362221
1939,32,1930,1249209591,0.025616197818641308
1940,25,1940,1179404138,0.02119714455334563
1941,26,1940,1084154164,0.02398182921151424
1942,22,1940,1045379066,0.021044997662120774
1943,30,1940,890214397,0.033699747050934294
1944,16,1940,812192380,0.019699766205637143
1945,21,1940,926378706,0.02266891484442217
1946,31,1940,1203221497,0.02576416734349619
1947,33,1940,1385834769,0.02381236258332035
1948,39,1940,1486005621,0.02624485361889489
1949,46,1940,1641024100,0.02803127632312042
1950,69,1950,1644401950,0.04196054377094359
1951,43,1950,1603394676,0.02681810077308751
1952,57,1950,1621780754,0.0351465510115432
1953,32,1950,1590464886,0.020119903483364298
1954,29,1950,1662160145,0.017447175645039906
1955,94,1950,1751719755,0.05366155158762824
1956,25,1950,1817491821,0.013755220084701553
1957,72,1950,1952474329,0.036876285096601645
1958,29,1950,1976098333,0.014675383059492718
1959,64,1950,2064236476,0.031004199733945595
1960,83,1960,2341981521,0.035440074678539706
1961,66,1960,2567977722,0.02570115754298588
1962,92,1960,2818694749,0.032639220700517224
1963,50,1960,2955051696,0.016920177764632918
1964,101,1960,2931038992,0.03445877051641762
1965,174,1960,3300623502,0.05271731231828331
1966,107,1960,3466842517,0.03086381901552063
1967,116,1960,3658119990,0.03171027749693908
1968,155,1960,3968752101,0.039055097435021176
1969,135,1960,3942222509,0.03424464237921584
1970,164,1970,4086393350,0.04013318982128825
1971,137,1970,4058576649,0.03375567639796964
1972,180,1970,4174172415,0.04312232033184954
1973,193,1970,4058707895,0.04755207937919366
1974,155,1970,4045487401,0.03831429556836234
1975,189,1970,4104379941,0.0460483685031244
1976,168,1970,4242326406,0.0396009132541981
1977,214,1970,4314577619,0.04959929311680787
1978,201,1970,4365839878,0.04603925146519081
1979,200,1970,4528331460,0.04416637822709206
1980,304,1980,4611609946,0.06592057948519309
1981,244,1980,4627406112,0.05272932483000533
1982,244,1980,4839530894,0.05041810980120173
1983,285,1980,4982167985,0.0572040125620132
1984,212,1980,5309222580,0.03993051653148058
1985,266,1980,5475269397,0.04858208440770901
1986,310,1980,5793946882,0.0535041149519465
1987,281,1980,5936558026,0.04733382521813491
1988,396,1980,6191886939,0.06395465613329734
1989,357,1980,6549339038,0.05450931734158912
1990,340,1990,7075013106,0.048056448080875114
1991,285,1990,6895715366,0.04133001217034282
1992,295,1990,7596808027,0.038832098817231306
1993,384,1990,7492130348,0.05125377992155563
1994,409,1990,8027353540,0.05095078944286787
1995,425,1990,8276258599,0.05135170619866224
1996,396,1990,8745049453,0.045282762793771476
1997,383,1990,8979708108,0.04265172045612332
1998,496,1990,9406708249,0.05272832821754925
1999,434,1990,9997156197,0.04341234561586994
2000,481,2000,11190986329,0.04298101935425928
2001,528,2000,11349375656,0.04652238290490153
2002,601,2000,12519922882,0.04800349056974327
2003,687,2000,13632028136,0.05039602274482865
2004,879,2000,14705541576,0.059773385118611425
2005,843,2000,14425183957,0.058439462714159965
2006,806,2000,15310495914,0.05264362464333956
2007,806,2000,16206118071,0.04973430382704016
2008,608,2000,19482936409,0.03120679487097945
