year,token_count,decade,total_count,counts_permil,token
1800,8,1800,18412019,0.43,feller
1801,50,1800,19941239,2.51,feller
1802,82,1800,23355869,3.51,feller
1803,20,1800,27922721,0.72,feller
1804,4,1800,36024446,0.11,feller
1805,4,1800,28285597,0.14,feller
1806,14,1800,30783941,0.45,feller
1807,86,1800,38882481,2.21,feller
1808,8,1800,31553108,0.25,feller
1809,11,1800,45829773,0.24,feller
1810,19,1810,65830685,0.29,feller
1811,12,1810,53049760,0.23,feller
1812,15,1810,43524358,0.34,feller
1813,5,1810,44083350,0.11,feller
1814,12,1810,39200179,0.31,feller
1815,2,1810,35621471,0.06,feller
1816,6,1810,43581951,0.14,feller
1817,26,1810,49664747,0.52,feller
1818,14,1810,64937302,0.22,feller
1819,10,1810,60059167,0.17,feller
1820,10,1820,41525308,0.24,feller
1821,14,1820,66759836,0.21,feller
1822,13,1820,86432807,0.15,feller
1823,8,1820,90275483,0.09,feller
1824,12,1820,107202177,0.11,feller
1825,60,1820,100835871,0.6,feller
1826,12,1820,87443511,0.14,feller
1827,19,1820,103224456,0.18,feller
1828,19,1820,100712008,0.19,feller
1829,19,1820,145851268,0.13,feller
1830,20,1830,142572210,0.14,feller
1831,28,1830,192376287,0.15,feller
1832,86,1830,208072264,0.41,feller
1833,45,1830,188124639,0.24,feller
1834,247,1830,160777483,1.54,feller
1835,150,1830,213225556,0.7,feller
1836,156,1830,246594625,0.63,feller
1837,130,1830,178891779,0.73,feller
1838,322,1830,166066243,1.94,feller
1839,159,1830,218149517,0.73,feller
1840,254,1840,214932042,1.18,feller
1841,147,1840,223625532,0.66,feller
1842,145,1840,202841595,0.71,feller
1843,858,1840,234308194,3.66,feller
1844,517,1840,272926560,1.89,feller
1845,177,1840,308325808,0.57,feller
1846,348,1840,311607661,1.12,feller
1847,234,1840,292456945,0.8,feller
1848,602,1840,299849979,2.01,feller
1849,280,1840,285127825,0.98,feller
1850,230,1850,346894617,0.66,feller
1851,258,1850,374269854,0.69,feller
1852,885,1850,364524509,2.43,feller
1853,861,1850,428102358,2.01,feller
1854,981,1850,496550502,1.98,feller
1855,750,1850,457343669,1.64,feller
1856,1239,1850,518328494,2.39,feller
1857,1176,1850,426434283,2.76,feller
1858,708,1850,346284832,2.04,feller
1859,652,1850,442579354,1.47,feller
1860,652,1860,455087035,1.43,feller
1861,294,1860,255214560,1.15,feller
1862,329,1860,197497074,1.67,feller
1863,446,1860,218520984,2.04,feller
1864,1239,1860,344750650,3.59,feller
1865,665,1860,299436808,2.22,feller
1866,901,1860,375308606,2.4,feller
1867,980,1860,342124680,2.86,feller
1868,1078,1860,382283415,2.82,feller
1869,963,1860,376788569,2.56,feller
1870,631,1870,364296003,1.73,feller
1871,1087,1870,373473424,2.91,feller
1872,855,1870,397802788,2.15,feller
1873,1545,1870,395108017,3.91,feller
1874,1084,1870,417860324,2.59,feller
1875,1035,1870,415719665,2.49,feller
1876,1151,1870,444883571,2.59,feller
1877,1259,1870,408816032,3.08,feller
1878,856,1870,377599725,2.27,feller
1879,1006,1870,431810063,2.33,feller
1880,1194,1880,621507109,1.92,feller
1881,1100,1880,581557072,1.89,feller
1882,1452,1880,569855156,2.55,feller
1883,1427,1880,684435263,2.08,feller
1884,1455,1880,674471062,2.16,feller
1885,1730,1880,609257291,2.84,feller
1886,1279,1880,607033427,2.11,feller
1887,2471,1880,638323596,3.87,feller
1888,2556,1880,645740637,3.96,feller
1889,1974,1880,635389632,3.11,feller
1890,2439,1890,691920587,3.52,feller
1891,2414,1890,671018343,3.6,feller
1892,1996,1890,770583129,2.59,feller
1893,2608,1890,751209055,3.47,feller
1894,2604,1890,762387923,3.42,feller
1895,2251,1890,856507576,2.63,feller
1896,4136,1890,875937599,4.72,feller
1897,3585,1890,855461090,4.19,feller
1898,4474,1890,965249814,4.64,feller
1899,5459,1890,1092758119,5,feller
1900,4595,1900,1193022972,3.85,feller
1901,4641,1900,1134593471,4.09,feller
1902,3593,1900,1081940039,3.32,feller
1903,4602,1900,1036306491,4.44,feller
1904,4205,1900,1142880105,3.68,feller
1905,5373,1900,1087325094,4.94,feller
1906,3343,1900,1050432722,3.18,feller
1907,4333,1900,1084942311,3.99,feller
1908,4552,1900,1094572493,4.16,feller
1909,4741,1900,1197851619,3.96,feller
1910,6567,1910,1270367559,5.17,feller
1911,6356,1910,1234573206,5.15,feller
1912,7162,1910,1304072749,5.49,feller
1913,5141,1910,1248084682,4.12,feller
1914,4683,1910,1186200517,3.95,feller
1915,3679,1910,1127661278,3.26,feller
1916,5927,1910,1171753059,5.06,feller
1917,5144,1910,1163662913,4.42,feller
1918,3985,1910,1013546363,3.93,feller
1919,4857,1910,1058020589,4.59,feller
1920,6036,1920,1254311177,4.81,feller
1921,5025,1920,1097939285,4.58,feller
1922,5500,1920,1314551863,4.18,feller
1923,2698,1920,908359108,2.97,feller
1924,3509,1920,806513130,4.35,feller
1925,3306,1920,849802025,3.89,feller
1926,3634,1920,865118309,4.2,feller
1927,3610,1920,976665241,3.7,feller
1928,4888,1920,962903811,5.08,feller
1929,4025,1920,928039672,4.34,feller
1930,3576,1930,961921346,3.72,feller
1931,2956,1930,901187886,3.28,feller
1932,3688,1930,820509073,4.49,feller
1933,2909,1930,712633481,4.08,feller
1934,2989,1930,804936448,3.71,feller
1935,3069,1930,938751780,3.27,feller
1936,3568,1930,933663002,3.82,feller
1937,4837,1930,997173123,4.85,feller
1938,2953,1930,984894343,3,feller
1939,3760,1930,1011652934,3.72,feller
1940,4296,1940,1011681456,4.25,feller
1941,4232,1940,995186647,4.25,feller
1942,2892,1940,964994036,3,feller
1943,2982,1940,783466418,3.81,feller
1944,2931,1940,710742106,4.12,feller
1945,2434,1940,771319324,3.16,feller
1946,3464,1940,940903238,3.68,feller
1947,4555,1940,1088665849,4.18,feller
1948,2389,1940,1159184937,2.06,feller
1949,2715,1940,1247826461,2.18,feller
1950,3162,1950,1292994530,2.45,feller
1951,3672,1950,1205056506,3.05,feller
1952,3041,1950,1198507155,2.54,feller
1953,2822,1950,1184035306,2.38,feller
1954,3428,1950,1243132560,2.76,feller
1955,3398,1950,1341357946,2.53,feller
1956,3195,1950,1352344836,2.36,feller
1957,2778,1950,1443975563,1.92,feller
1958,2602,1950,1452086875,1.79,feller
1959,3519,1950,1580414239,2.23,feller
1960,3404,1960,1745492132,1.95,feller
1961,3409,1960,1912739821,1.78,feller
1962,3710,1960,2069021222,1.79,feller
1963,3747,1960,2191928319,1.71,feller
1964,3320,1960,2161865522,1.54,feller
1965,3619,1960,2420225933,1.5,feller
1966,3530,1960,2556820189,1.38,feller
1967,4558,1960,2715383342,1.68,feller
1968,4390,1960,2961008207,1.48,feller
1969,5625,1960,2925893731,1.92,feller
1970,4831,1970,2980316227,1.62,feller
1971,4306,1970,2911286799,1.48,feller
1972,4707,1970,2894439909,1.63,feller
1973,3897,1970,2787493047,1.4,feller
1974,3979,1970,2835400187,1.4,feller
1975,4725,1970,2773009076,1.7,feller
1976,4646,1970,2895075207,1.6,feller
1977,4837,1970,3017786106,1.6,feller
1978,5770,1970,3008545004,1.92,feller
1979,5051,1970,3108644036,1.62,feller
1980,5132,1980,3095366720,1.66,feller
1981,5678,1980,3167777689,1.79,feller
1982,5638,1980,3251635329,1.73,feller
1983,6384,1980,3363385115,1.9,feller
1984,5747,1980,3604291725,1.59,feller
1985,6110,1980,3707140560,1.65,feller
1986,6637,1980,3852814910,1.72,feller
1987,5646,1980,3894321600,1.45,feller
1988,8209,1980,4130959751,1.99,feller
1989,6675,1980,4395434935,1.52,feller
1990,8208,1990,4794705748,1.71,feller
1991,8304,1990,4717462266,1.76,feller
1992,8284,1990,5177676969,1.6,feller
1993,8985,1990,5261402556,1.71,feller
1994,7593,1990,5668284357,1.34,feller
1995,7119,1990,5903406001,1.21,feller
1996,9220,1990,6229253497,1.48,feller
1997,8780,1990,6426967099,1.37,feller
1998,9636,1990,6710202693,1.44,feller
1999,9691,1990,7209916753,1.34,feller
2000,10929,2000,7867112937,1.39,feller
1803,2,1800,27922721,0.07,golly
1808,1,1800,31553108,0.03,golly
1809,1,1800,45829773,0.02,golly
1818,5,1810,64937302,0.08,golly
1823,2,1820,90275483,0.02,golly
1824,2,1820,107202177,0.02,golly
1825,1,1820,100835871,0.01,golly
1829,2,1820,145851268,0.01,golly
1832,1,1830,208072264,0,golly
1833,3,1830,188124639,0.02,golly
1834,1,1830,160777483,0.01,golly
1835,1,1830,213225556,0,golly
1836,4,1830,246594625,0.02,golly
1837,1,1830,178891779,0.01,golly
1838,4,1830,166066243,0.02,golly
1839,20,1830,218149517,0.09,golly
1840,5,1840,214932042,0.02,golly
1841,9,1840,223625532,0.04,golly
1842,6,1840,202841595,0.03,golly
1843,8,1840,234308194,0.03,golly
1844,6,1840,272926560,0.02,golly
1845,12,1840,308325808,0.04,golly
1846,14,1840,311607661,0.04,golly
1847,20,1840,292456945,0.07,golly
1848,12,1840,299849979,0.04,golly
1849,9,1840,285127825,0.03,golly
1850,46,1850,346894617,0.13,golly
1851,10,1850,374269854,0.03,golly
1852,71,1850,364524509,0.19,golly
1853,21,1850,428102358,0.05,golly
1854,38,1850,496550502,0.08,golly
1855,35,1850,457343669,0.08,golly
1856,66,1850,518328494,0.13,golly
1857,73,1850,426434283,0.17,golly
1858,80,1850,346284832,0.23,golly
1859,77,1850,442579354,0.17,golly
1860,82,1860,455087035,0.18,golly
1861,44,1860,255214560,0.17,golly
1862,19,1860,197497074,0.1,golly
1863,81,1860,218520984,0.37,golly
1864,78,1860,344750650,0.23,golly
1865,105,1860,299436808,0.35,golly
1866,99,1860,375308606,0.26,golly
1867,171,1860,342124680,0.5,golly
1868,49,1860,382283415,0.13,golly
1869,52,1860,376788569,0.14,golly
1870,19,1870,364296003,0.05,golly
1871,69,1870,373473424,0.18,golly
1872,106,1870,397802788,0.27,golly
1873,77,1870,395108017,0.19,golly
1874,79,1870,417860324,0.19,golly
1875,48,1870,415719665,0.12,golly
1876,118,1870,444883571,0.27,golly
1877,92,1870,408816032,0.23,golly
1878,30,1870,377599725,0.08,golly
