head_word,in_coha_early,in_coha_all
a,TRUE,TRUE
a_1,FALSE,FALSE
aam,FALSE,TRUE
aard_vark,TRUE,TRUE
aard_wolf,FALSE,FALSE
aaronic,TRUE,TRUE
aaronical,TRUE,TRUE
aaron_s_rod,TRUE,TRUE
ab,TRUE,TRUE
abaca,FALSE,TRUE
abacinate,FALSE,FALSE
abacination,FALSE,FALSE
abaciscus,FALSE,TRUE
abacist,FALSE,TRUE
aback,TRUE,TRUE
abactinal,FALSE,FALSE
abaction,TRUE,TRUE
abactor,FALSE,FALSE
abaculus,FALSE,FALSE
abacus,TRUE,TRUE
abada,FALSE,FALSE
abaddon,TRUE,TRUE
abaft,TRUE,TRUE
abaisance,FALSE,FALSE
abaiser,FALSE,FALSE
abaist,FALSE,FALSE
abalienate,FALSE,FALSE
abalienation,FALSE,FALSE
abalone,TRUE,TRUE
aband,TRUE,TRUE
abandon,TRUE,TRUE
abandoned,TRUE,TRUE
abandonedly,TRUE,TRUE
abandonee,FALSE,FALSE
abandoner,TRUE,TRUE
abandonment,TRUE,TRUE
abandum,FALSE,FALSE
abanet,FALSE,TRUE
abanga,FALSE,FALSE
abannation,FALSE,FALSE
abannition,FALSE,FALSE
abarticulation,FALSE,FALSE
abase,TRUE,TRUE
abased,TRUE,TRUE
abasedly,FALSE,FALSE
abasement,TRUE,TRUE
abaser,TRUE,TRUE
abash,TRUE,TRUE
abashedly,FALSE,TRUE
abashment,TRUE,TRUE
abasia,TRUE,TRUE
abassi,FALSE,TRUE
abassis,FALSE,FALSE
abatable,TRUE,TRUE
abate,TRUE,TRUE
abatement,TRUE,TRUE
abater,TRUE,TRUE
abatis,TRUE,TRUE
abattis,TRUE,TRUE
abatised,FALSE,FALSE
abator,FALSE,FALSE
abattoir,TRUE,TRUE
abature,FALSE,FALSE
abatvoix,FALSE,FALSE
abawed,FALSE,FALSE
abaxial,FALSE,TRUE
abaxile,FALSE,FALSE
abay,FALSE,TRUE
abb,TRUE,TRUE
abba,TRUE,TRUE
abbacy,TRUE,TRUE
abbatial,TRUE,TRUE
abbatical,FALSE,FALSE
abbe,TRUE,TRUE
abbess,TRUE,TRUE
abbey,TRUE,TRUE
abbot,TRUE,TRUE
abbotship,FALSE,TRUE
abbreviate,TRUE,TRUE
abbreviated,TRUE,TRUE
abbreviation,TRUE,TRUE
abbreviator,FALSE,FALSE
abbreviatory,FALSE,FALSE
abbreviature,FALSE,FALSE
abb_wool,FALSE,FALSE
a_b_c,TRUE,TRUE
abdal,TRUE,TRUE
abderian,FALSE,FALSE
abderite,TRUE,TRUE
abdest,FALSE,FALSE
abdicable,FALSE,FALSE
abdicant,FALSE,FALSE
abdicate,TRUE,TRUE
abdication,TRUE,TRUE
abdicative,FALSE,FALSE
abdicator,TRUE,TRUE
abditive,FALSE,FALSE
abditory,FALSE,FALSE
abdomen,TRUE,TRUE
abdominal,TRUE,TRUE
abdominales,FALSE,FALSE
abdominalia,FALSE,FALSE
abdominoscopy,FALSE,FALSE
abdominothoracic,FALSE,FALSE
abdominous,FALSE,FALSE
abduce,FALSE,FALSE
abduct,TRUE,TRUE
abduction,TRUE,TRUE
abductor,TRUE,TRUE
abeam,TRUE,TRUE
abear,TRUE,TRUE
abearance,TRUE,TRUE
abearing,FALSE,FALSE
abecedarian,TRUE,TRUE
abecedary,FALSE,FALSE
abed,TRUE,TRUE
abegge,FALSE,FALSE
abele,TRUE,TRUE
abelian,TRUE,TRUE
abelite,FALSE,FALSE
abelonian,FALSE,FALSE
abelmosk,FALSE,FALSE
aber_de_vine,FALSE,FALSE
aberr,FALSE,FALSE
aberrance,FALSE,TRUE
aberrancy,TRUE,TRUE
aberrant,TRUE,TRUE
aberrate,FALSE,TRUE
aberration,TRUE,TRUE
aberrational,FALSE,TRUE
aberuncate,FALSE,FALSE
aberuncator,FALSE,FALSE
abet,TRUE,TRUE
abetment,TRUE,TRUE
abettal,FALSE,TRUE
abetter,TRUE,TRUE
abettor,TRUE,TRUE
abevacuation,FALSE,FALSE
abeyance,TRUE,TRUE
abeyancy,TRUE,TRUE
abeyant,TRUE,TRUE
abgeordnetenhaus,TRUE,TRUE
abhal,FALSE,FALSE
abhominable,TRUE,TRUE
abhominal,FALSE,FALSE
abhor,TRUE,TRUE
abhorrence,TRUE,TRUE
abhorrency,FALSE,FALSE
abhorrent,TRUE,TRUE
abhorrently,TRUE,TRUE
abhorrer,FALSE,FALSE
abhorrible,FALSE,FALSE
abhorring,TRUE,TRUE
abib,TRUE,TRUE
abidance,FALSE,FALSE
abide,TRUE,TRUE
4,FALSE,FALSE
abider,FALSE,TRUE
abiding,TRUE,TRUE
abidingly,TRUE,TRUE
abies,TRUE,TRUE
abietene,FALSE,FALSE
abietic,FALSE,TRUE
abietin,FALSE,FALSE
abietine,FALSE,FALSE
abietinic,FALSE,FALSE
abietite,FALSE,FALSE
abigail,TRUE,TRUE
abiliment,FALSE,FALSE
ability,TRUE,TRUE
abime,FALSE,TRUE
abyme,TRUE,TRUE
abiogenesis,TRUE,TRUE
abiogenetic,FALSE,FALSE
abiogenist,FALSE,FALSE
abiogenous,FALSE,FALSE
abiogeny,FALSE,FALSE
abiological,FALSE,FALSE
abirritant,FALSE,FALSE
abirritate,FALSE,FALSE
abirritation,FALSE,FALSE
abirritative,FALSE,FALSE
abit,TRUE,TRUE
abject,TRUE,TRUE
abjectedness,FALSE,FALSE
abjection,TRUE,TRUE
abjectly,TRUE,TRUE
abjectness,TRUE,TRUE
abjudge,FALSE,FALSE
abjudicate,FALSE,FALSE
abjudication,FALSE,FALSE
abjugate,FALSE,FALSE
abjunctive,FALSE,FALSE
abjuration,TRUE,TRUE
abjuratory,FALSE,FALSE
abjure,TRUE,TRUE
abjurement,FALSE,FALSE
abjurer,FALSE,FALSE
ablactate,FALSE,FALSE
ablactation,FALSE,FALSE
ablaqueate,FALSE,FALSE
ablaqueation,FALSE,FALSE
ablastemic,FALSE,FALSE
ablation,TRUE,TRUE
ablatitious,FALSE,FALSE
ablative,TRUE,TRUE
ablaut,TRUE,TRUE
ablaze,TRUE,TRUE
able,TRUE,TRUE
ible,TRUE,TRUE
able_bodied,TRUE,TRUE
ablegate,TRUE,TRUE
ablegation,FALSE,FALSE
able_minded,TRUE,TRUE
ableness,TRUE,TRUE
ablepsy,FALSE,FALSE
abler,TRUE,TRUE
ablet,FALSE,TRUE
ablen,FALSE,FALSE
abligate,FALSE,FALSE
abligurition,FALSE,FALSE
ablins,FALSE,FALSE
abloom,TRUE,TRUE
ablude,FALSE,FALSE
abluent,FALSE,FALSE
ablush,FALSE,TRUE
ablution,TRUE,TRUE
ablutionary,FALSE,TRUE
abluvion,FALSE,FALSE
ably,TRUE,TRUE
abnegate,TRUE,TRUE
abnegation,TRUE,TRUE
abnegative,FALSE,FALSE
abnegator,FALSE,FALSE
abnet,FALSE,TRUE
abnodate,FALSE,FALSE
abnodation,FALSE,FALSE
abnormal,TRUE,TRUE
abnormality,TRUE,TRUE
abnormally,TRUE,TRUE
abnormity,TRUE,TRUE
abnormous,FALSE,FALSE
aboard,TRUE,TRUE
abodance,FALSE,FALSE
abode,TRUE,TRUE
abodement,FALSE,FALSE
aboding,FALSE,FALSE
abolish,TRUE,TRUE
abolishable,TRUE,TRUE
abolisher,TRUE,TRUE
abolishment,TRUE,TRUE
abolition,TRUE,TRUE
abolitionism,TRUE,TRUE
abolitionist,TRUE,TRUE
abolitionize,FALSE,FALSE
aboma,FALSE,FALSE
abomasum,FALSE,FALSE
abomasus,FALSE,FALSE
abominable,TRUE,TRUE
abominableness,TRUE,TRUE
abominably,TRUE,TRUE
abominate,TRUE,TRUE
abomination,TRUE,TRUE
aboon,TRUE,TRUE
aboral,FALSE,TRUE
abord,TRUE,TRUE
aboriginal,TRUE,TRUE
aboriginality,TRUE,TRUE
aboriginally,TRUE,TRUE
aborigines,TRUE,TRUE
aborsement,FALSE,FALSE
aborsive,FALSE,FALSE
abort,TRUE,TRUE
aborted,TRUE,TRUE
aborticide,FALSE,FALSE
abortifacient,FALSE,TRUE
abortion,TRUE,TRUE
abortional,FALSE,TRUE
abortionist,TRUE,TRUE
abortive,TRUE,TRUE
abortively,TRUE,TRUE
abortiveness,FALSE,TRUE
abortment,FALSE,FALSE
abought,FALSE,FALSE
abound,TRUE,TRUE
about,TRUE,TRUE
about_sledge,FALSE,TRUE
above,TRUE,TRUE
aboveboard,TRUE,TRUE
above_cited,TRUE,TRUE
abovedeck,FALSE,TRUE
above_mentioned,TRUE,TRUE
above_named,TRUE,TRUE
abovesaid,TRUE,TRUE
abox,FALSE,TRUE
abra,TRUE,TRUE
abracadabra,TRUE,TRUE
abradant,FALSE,FALSE
abrade,TRUE,TRUE
abrahamic,TRUE,TRUE
abrahamitic,FALSE,TRUE
abrahamitical,FALSE,FALSE
abraham_man,FALSE,TRUE
abram_man,FALSE,TRUE
abraid,TRUE,TRUE
abranchial,FALSE,FALSE
abranchiata,FALSE,FALSE
abranchiate,FALSE,FALSE
abrase,FALSE,FALSE
abrasion,TRUE,TRUE
abrasive,TRUE,TRUE
abraum,FALSE,FALSE
abraum_salts,FALSE,FALSE
abraxas,TRUE,TRUE
abray,FALSE,FALSE
abreaction,FALSE,TRUE
abreast,TRUE,TRUE
abregge,FALSE,FALSE
abrenounce,TRUE,TRUE
abrenunciation,FALSE,FALSE
abreption,FALSE,FALSE
abreuvoir,TRUE,TRUE
abricock,FALSE,FALSE
abridge,TRUE,TRUE
abridger,TRUE,TRUE
abridgment,TRUE,TRUE
abroach,TRUE,TRUE
abroad,TRUE,TRUE
abrogable,FALSE,FALSE
abrogate,TRUE,TRUE
abrogation,TRUE,TRUE
abrogative,FALSE,FALSE
abrogator,TRUE,TRUE
abrood,FALSE,FALSE
abrook,FALSE,FALSE
abrupt,TRUE,TRUE
abruption,TRUE,TRUE
abruptly,TRUE,TRUE
abruptness,TRUE,TRUE
abscess,TRUE,TRUE
abscession,FALSE,FALSE
abscind,TRUE,TRUE
abscision,FALSE,FALSE
absciss,FALSE,FALSE
abscissa,TRUE,TRUE
abscission,FALSE,TRUE
abscond,TRUE,TRUE
abscondence,FALSE,FALSE
absconder,TRUE,TRUE
absence,TRUE,TRUE
absent,TRUE,TRUE
absentaneous,FALSE,FALSE
absentation,FALSE,FALSE
absentee,TRUE,TRUE
absenteeism,TRUE,TRUE
absenter,FALSE,FALSE
absently,TRUE,TRUE
absentment,FALSE,FALSE
absent_minded,TRUE,TRUE
absentness,FALSE,FALSE
absey_book,FALSE,FALSE
absinthate,FALSE,FALSE
absinthe,TRUE,TRUE
absinth,TRUE,TRUE
absinthial,FALSE,FALSE
absinthian,FALSE,FALSE
absinthiate,FALSE,FALSE
absinthiated,FALSE,FALSE
absinthic,FALSE,FALSE
absinthin,TRUE,TRUE
absinthism,TRUE,TRUE
absinthium,FALSE,FALSE
absis,FALSE,FALSE
absist,FALSE,FALSE
absistence,FALSE,FALSE
absolute,TRUE,TRUE
absolutely,TRUE,TRUE
absoluteness,TRUE,TRUE
absolution,TRUE,TRUE
absolutism,TRUE,TRUE
absolutist,TRUE,TRUE
absolutistic,TRUE,TRUE
absolutory,FALSE,FALSE
absolvable,FALSE,FALSE
absolvatory,FALSE,FALSE
absolve,TRUE,TRUE
absolvent,FALSE,FALSE
absolver,FALSE,FALSE
absonant,FALSE,FALSE
absonous,FALSE,FALSE
absorb,TRUE,TRUE
