English,Baklese
Homo?,Beki?
Homo! Homo!,Beki! Beki!
Discipline your child!,More ikyeme mo yang junakis mez!
"Hi, Fe!","Hellerch, Fe!"
"Homo, homo, homo!",Beki! Beki! Beki!
Homo…,Beki…
"Child, you may begin your confession","Junakis, gora, i-say mo nachi ang chika."
Shouldn’t you be the one confessing?,"Pudak, more ikaw dapat ang chumichika, diveign?"
What do you mean?,Anek ang kinukuda mez?
You’re a homo,Judarl ka mam!
"Homo, homo, homo… ",Beki! Beki! Beki!
"Shh, quiet, don’t say that! ","Shh, wiz teh stopchina mo yaanchi!"
You’re a homooooo!,Bekibelles!
"Remington, I told you to stop doing that!","Remington, sabi kez stopchina mo yanchi!"
A homo alright,Confeermed!
Homo homohomo!,Beki! Beki! Beki!
"Yes, I am gay ","Korak, beki nga akey."
"Always been, always will be","Noonchibells, ngayonchi, and for eternity!"
But you little brat…,Pereklavu ikawching batit ka…
You will turn gay when you grow up!,Paglaki mez more nyogiging bekimels katchi!
Make way,Shoo! Alischi! Alischi!
"Stand aside, I said!",Sumet-aside kayez!
You laughing at me?,Tinatawanan mez akey?
"Mimi, cordon off the area so we can salvage some evidence","Mimi, more i-cordonchi mo nachi iteklavams more may makyeme pa tayez na evidence!"
Another Diana Rose?,Diana Rose na namanchi?
Big hair… fake eyelashes… green goo… gay,Bigamus na hereri… Charoterang eyelashes… Verdeng kyemerloo… Beks.
"Townmates, if you want us to catch the killer ","Mgatching kababayan kez, if bet nyez na majuli na ang killer,"
please cooperate,jumoin sa coopetative!
"When you find a victim call the police, not your neighbors","More pag nasightsung nyez ang victimbelles, more tawagchi kayez ng shaiderbelles, wit ang neighboring chorva!"
What was the cause of death?,Anek ang kinanyotay?
Murder,Tinegibelles.
Keep the crime scene intact. That’s basic!,I-securitybelles nyez ang crime scene! More basic yaanchi!
Murder? I’ve never seen a murder victim before,Tegibelles? Wit pa akez nashuayt ng tinegibells.
"I have. All kinds. There’s homicide, suicide,parricide… ","Akez nakashuayt na. More all variants, teh! Nyomicide, shoecide, katyperrycide,"
pesticide,fishticidechi…
Kidding,Cheka!
My mom’s a cop,Shaiderbelles si Mumash.
Really? Groovy!,Weow? Bongga!
"I know, right?",Truelabelt!
Cool,Powerful!
"I’ve seen a lot of corpses, too",Nakashuayt na rin akez ng mga vangkaychi.
"Victims of lung cancer, skin cancer, bone cancer…","More victimbelles ng lung cancerchi, skin cancerchi, cancer sa butoklavels,"
social cancer,sozialism cancereka.
Kidding,Charot!
My father’s an oncologist,Oncologist and pudak kez.
Hi,Hi-chi!
